Parameters;Mean Accuracy;Test on (1, 0.1, 100, 0.8)
{'poly__degree': 1, 'logreg__C': 0.1, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.5478413068844808;0.4114975498984104
{'poly__degree': 1, 'logreg__C': 0.1, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.5478413068844808;
{'poly__degree': 1, 'logreg__C': 0.1, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.5478413068844808;
{'poly__degree': 1, 'logreg__C': 1, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.5474523531699728;
{'poly__degree': 1, 'logreg__C': 1, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.5474523531699728;
{'poly__degree': 1, 'logreg__C': 1, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.5474523531699728;
{'poly__degree': 1, 'logreg__C': 10, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 1, 'logreg__C': 10, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 1, 'logreg__C': 10, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 1, 'logreg__C': 100, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 1, 'logreg__C': 100, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 1, 'logreg__C': 100, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.547387527550888;
{'poly__degree': 2, 'logreg__C': 0.1, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 0.1, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 0.1, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 1, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.4951380785686504;
{'poly__degree': 2, 'logreg__C': 1, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.4951380785686504;
{'poly__degree': 2, 'logreg__C': 1, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.4951380785686504;
{'poly__degree': 2, 'logreg__C': 10, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 10, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 10, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.49507325294956567;
{'poly__degree': 2, 'logreg__C': 100, 'logreg__max_iter': 100, 'pca__n_components': 0.8};0.4951380785686504;
{'poly__degree': 2, 'logreg__C': 100, 'logreg__max_iter': 200, 'pca__n_components': 0.8};0.4951380785686504;
{'poly__degree': 2, 'logreg__C': 100, 'logreg__max_iter': 500, 'pca__n_components': 0.8};0.4951380785686504;
