Parameters;Mean Accuracy;Test on (200, 6, 0.2, 0.8, 1.0, 0.8)
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5136782056268637;0.45798972152503886
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.4993517438091533;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5129651238169325;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.4874886555166602;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5294956566835213;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5269026319201348;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.519382860106314;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5191883832490599;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5314404252560613;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5281343186827434;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5248930377285103;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5306625178270453;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5370154284973422;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5125761701024244;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5309866459224686;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.509983145339038;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5313755996369766;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5360430442110722;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5376636846881888;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5374043822118502;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5366264747828341;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5479709581226501;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5261895501102035;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5510177622196292;
