Parameters;Mean Accuracy;Test on (200, 6, 0.2, 0.8, 1.0, 0.7)
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5118630882924932;0.4649217162662842
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5001296512381693;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5140671593413717;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.4905354596136393;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5200311162971606;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5185401270582134;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5065473875275509;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5160119279139116;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5265136782056269;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5158174510566575;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5129651238169325;
{'xgb__n_estimators': 100, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5122520420070011;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5213924542979386;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5077790742901594;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5194476857253987;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5106962271489693;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5274212368728121;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5307921690652146;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5208090237261765;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.529171528588098;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5300142616361986;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.534163101257617;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5279398418254894;
{'xgb__n_estimators': 100, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5369506028782575;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5244392583949177;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5147154155322183;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5239206534422404;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5036950602878257;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5400622325943213;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5385712433553741;
